,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,pendamite_tapan,,,97,454,147065,154,"The results of Assam municipal elections clearly underlines the unwavering faith people have in Shri @narendramodi’s politics of development &amp; the good governance of the state BJP Govt led by CM Shri @himantabiswa.

Congratulations to Team @BJP4Assam for this stupendous victory. https://t.co/E6MSmbT9rd",[]
1,igrms,IGRMS- National Museum of Mankind,"Bhopal, Madhya Pradesh, India",3481,2049,16266,1,@kishanreddybjp @MinOfCultureGoI @M_Lekhi @arjunrammeghwal @narendramodi @PMOIndia @PIBCulture @PIB_India @PIBHindi Good work,[]
2,levi129867,adapt or perish,अखंड भारतवर्ष ,708,281,8954,0,"Tomorrow will be day which might decide BJP's 2024 chances and the future leader of nation after Modi. 

Jai shree ram. 
#YogiAdityanath #NarendraModi #BJP #UttarPradeshElections https://t.co/6EJ0GceYEc","['YogiAdityanath', 'NarendraModi', 'BJP', 'UttarPradeshElections']"
3,GauravlaluKumar,Gaurav Kumar@The COMMERCE Teacher@Lalu Thakur,"Kanpur, India",1749,1181,32743,341,"BJP's clean sweep in the municipal elections of Assam shows the confidence in PM Sh @narendramodi ji's ""Act East"" policy by the people of Assam.
 
I congratulate the citizens of Assam, CM Shri @himantabiswa ji, @BJP4Assam and its allies. https://t.co/0iI2zJBeOj",[]
4,OthumanSyed,,,2,4,355,0,@narendramodi @BJP4Assam Great victory. Credit goes to you for your charisma and ability to admin this country. Congratulations,[]
5,AapHonest,"Long Live Revolution AAP 😘
Facebook Page : https://t.co/ubghNkUwwI",Haryana ,1158,14995,140440,20,"56 inch Prachaar Modi, fearing defeat in #MCDElections, stopped it altogether.  Woh Modi woh 
@narendramodi
@BJP4Delhi 
#DarGayiBJP",['MCDElections']
6,mannukrsinghb,Bharatiya Janata Party  Member. Official Account. Thanks you all your Support. Blessed to be  Followed by @narendramodi ji,"Patna, India",1469,598,82383,899,"The grand victory of @BJP4Assam in the #AssamMunicipalElection reflects the trust of all sections of the society in Adarniya PM Shri @narendramodi ji's vision of Sabka Saath, Sabka Vikas, Sabka Vishwas &amp; Sabka Prayaas.

Grateful to the people for this massive mandate. https://t.co/3fKsbUsoXt",['AssamMunicipalElection']
7,sanjayeindoria,"एक राष्ट्र.हिन्दू राष्ट्र .भारत राष्ट्र
मंडल महासचिव भाजपा
flwd by  @kailashonline @TCgehlotoffice ,blkd by @Drkumarvishwas @javedakhtarjadu @sherryontopp","मुंब‌ई ,भारतवर्ष",594,6044,173244,1,"Joe Biden""The Osama""/Feuherer has got an index finger to twist the global economy.Why EU is slave to USA and UK punishing rest of humanity?
NATO is an international Mafia.
Beware and be intelligent not a slave to Biden.
@USAGov @sanjayeindoria @UN @KremlinRussia_E @narendramodi",[]
8,AMANKUM11825297,"📙गीता से ज्ञान मिला 🏹
रामायण से राम
भाग्य से हिन्दू धर्म 🕉️
किस्मत से हिन्दुस्तान🇮🇳🚩🏹जय श्रीराम🏹 🚩",शहीदों की नगरी शाहजहांपुर ,430,274,47,2,"Powerfull people make places powerfull.
@narendramodi  @PMOIndia  @ArorajArvind 
#ModiHaiToMumkinHai #ModiJi  #powerfullpeople https://t.co/NEzUZsqbZM","['ModiHaiToMumkinHai', 'ModiJi']"
9,asrajpoot778,"🇮🇳राष्ट्रहित सर्वोपरि🇮🇳 🙏जय श्री राम 🙏
🚩जिला सहसंयोजक भाजपा आईटी एवं सोशल मीडिया वेब प्रबंधन विभाग जिला अशोकनगर🚩
जिला संयोजक BJYM आईटी एवं सोशल मीडिया🚩",India,1422,1400,2453,568,"I congratulate all @BJP4Assam karyakartas &amp; leaders who worked tirelessly spreading the development ideals of Adarniya PM Shri @narendramodi ji.

This massive mandate for growth &amp; development will inspire us to pursue our agenda of progress with renewed vigour.

@JPNadda https://t.co/K3gNgMBUoM",[]
10,DisablePwd,"Dedicated For Disabled Person, Activist & Humanity & Justice","Patna, India",1371,724,2334,0,"RRC Graduate Railway employees want promotion  pls concerned this.pls do some thing for Group_D employees.all groud D want promotion after 2yrs regular service. @narendramodi
@AshwiniVaishnaw @IrpsOfficers @AIRAAAOFFICIAL @brmsunion @nfirindia https://t.co/N0lkLbtfiI",[]
11,Shristy46,"radhe radhe🙏🙏 
छोटी छोटी खुशियां ही तो जीने का सहारा बनती है ।। ख्वाहिशों का क्या वो तो पल-पल बदलती है।। ","Patna, India",1184,1201,31269,276,Great decision by PM Sh. @narendramodi Ji. Educational institutions run on money but Education should always be affordable. Deserving candidates should not travel abroad to Study medical because of High fees. Congratulations Medical Aspirants! https://t.co/ICRU1lHhVc,[]
12,PBarvaliy,🇮🇳🙏,,306,86,22057,120,The massive victory of the Bharatiya Janata Party in the Assam Municipal Elections shows the unwavering faith of the people of Assam in the PM Shri @narendramodi ji's development centric model of governance.,[]
